"","document","topic","gamma"
"362","421_1835_Я_Я6_nc_core",1,0.0984703632887189
"363","422_1821_Я_ЯВ_nc_core",1,0.126
"364","423_1821_Я_Я6_nc_core",1,0.000954198473282443
"365","424_1821_Я_Я6_nc_core",1,0.00391849529780564
"366","425_1826_Я_Я6_canon_core",1,0.0295138888888889
"367","426_1827_Я_Я666664_canon_core",1,0.0458333333333333
"368","428_1825_Я_Я4_nc_core",1,0.0543071161048689
"369","429_1826_Я_Я4_canon_core",1,0.0443786982248521
"370","43_1822_Я_ЯВ_nc_core",1,0.212616822429907
"371","430_1826_Амф_Амф4_nc_core",1,0.282786885245902
"372","431_1829_Я_Я5_nc_core",1,0.53125
"373","432_1830_Я_Я4_nc_core",1,0.00694444444444444
"374","433_1821_Я_Я6_nc_core",1,0.0595238095238095
"375","434_1830_Я_Я4_canon_core",1,0.285234899328859
"376","435_1830_Я_Я4_nc_core",1,0.0448717948717949
"377","436_1830_Я_Я4_nc_core",1,0.310526315789474
"378","437_1830_Я_Я4_canon_core",1,0.41044776119403
"379","438_1830_Я_ЯВ_nc_core",1,0.0384615384615385
"380","439_1825_Я_Я4_nc_core",1,0.0292553191489362
"381","44_1823_Я_Я65_nc_core",1,0.233167082294264
"382","440_1828_Я_Я4_nc_core",1,0.0555555555555556
"383","441_1824_Я_Я6664_nc_core",1,0.025462962962963
"384","442_1825_Я_Я6_nc_core",1,0.00847457627118644
"385","443_1826_Я_Я4_nc_core",1,0.552173913043478
"386","444_1826_Я_Я4_nc_core",1,0.38125
"387","445_1826_Я_Я4_nc_core",1,0.474137931034483
"388","446_1827_Я_ЯВ_nc_core",1,0.0126262626262626
"389","447_1827_Я_Я4_nc_core",1,0.347560975609756
"390","448_1827_Я_Я6_nc_core",1,0.0940959409594096
"391","449_1827_Я_Я64_nc_core",1,0.114583333333333
"392","45_1823_Я_Я65_nc_core",1,0.248148148148148
"393","450_1827_Я_Я64_canon_core",1,0.00746268656716418
"394","451_1829_Гк_Гк_nc_core",1,0.00977891156462585
"395","452_1829_Я_ЯВ_nc_core",1,0.0345744680851064
"396","453_1829_Я_Я4_nc_core",1,0.157142857142857
"397","454_1830_Я_Я4_nc_core",1,0.0392561983471074
