id;Signature;Author;Title;First line;Year;Meter;Razmer;Razmer_wclaus;Genre subtitle;Source_name;Place;Year;Volume;Number;Page;Type;Перепечатки;Meter;Стоп;Клаузула;canon_ou_non;corpus
435;Барон Розен;Розен Е.Ф.;Элегия;Она прелестна для меня;1830;Я;Я4;Я4неурег;NA;Литературная газета;NA;1830;Т. 2;№ 41;36;per;Перепечатано: Венера, или собрание стихотворений разных авторов. М. 1831. С. 91-92;Я;4;неурег;nc;core
436;NA;[Без подписи];Элегия;Я жизнь любил, когда полна;1830;Я;Я4;Я4неурег;NA;Литературная газета;NA;1830;Т. 2;№ 50;110;per;NA;Я;4;неурег;nc;core
437;NA;Одоевский А.И.;Пленник;Что вы печальны, дети снов;1830;Я;Я4;Я4неурег;NA;Литературная газета;NA;1830;Т. 2;№ 52;127-128;per;NA;Я;4;неурег;canon;core
438;Барон Розен;Розен Е.Ф.;Элегия;Давно ли я желал лаврового венца;1830;Я;ЯВ;ЯВнеурег;NA;Литературная газета;NA;1831;Т. 3;№ 33;267;per;NA;Я;В;неурег;nc;core
439;Ермолаев;[Ермолаев];Вечер;Сокрылось дневное светило;1825;Я;Я4;Я4жмжм;Перевод из Ла-Мартина;Северная пчела;NA;1825;NA;№ 106;4;per;NA;Я;4;жмжм;nc;core
440;NA;[Без подписи];Вдохновительность ночи;Как сладко на коврах ленивых;1828;Я;Я4;Я4жмжм;Элегия;Атеней;NA;1828;Ч. 1;№ 1;93;per;NA;Я;4;жмжм;nc;core
441;Волков;Волков А.А.;Одиночество;Как часто на горе, под сению дубов;1824;Я;Я6664;Я6664мжмж;Из Ламартина;Мнемозина;М;1824;Ч. 2;NA;140-142;alm;NA;Я;6664;мжмж;nc;core
442;Т.;Туманский В.И.;Элегия;На скалы, на холмы глядеть без нагляденья;1825;Я;Я6;Я6жжмм;NA;Северные цветы на 1825 год;М;1881;NA;NA;289;alm;NA;Я;6;жжмм;nc;core
443;Ф. Туманский;Туманский Ф.А.;Элегия;Когда на зов души унылой;1826;Я;Я4;Я4жмжм;NA;Северные цветы на 1826 год.;СПб;1826;NA;NA;25-26;alm;Перепечатано: ЛПРИ. 1833. Ч. 10. № 43. С. 340-341;Я;4;жмжм;nc;core
444;Ф. Туманский;Туманский Ф.А.;Элегия;Невидимо толпятся годы;1826;Я;Я4;Я4жмжм;NA;Северные цветы на 1826 год.;СПб;1826;NA;NA;123-124;alm;NA;Я;4;жмжм;nc;core
445;М. Яковлев;Яковлев М.А.;Элегия;Желанье сердца не свершилось;1826;Я;Я4;Я4жмжм;NA;Северные цветы на 1826 год.;СПб;1826;NA;NA;128-129;alm;NA;Я;4;жмжм;nc;core
446;Илличевский;Илличевский А.Д.;Сельская сирота;Покинув плен тяжелый сна;1827;Я;ЯВ;ЯВнеурег;Элегия Суме;Северные цветы на 1827 год;СПб;1827;NA;NA;257-259;alm;NA;Я;В;неурег;nc;core
447;В. Шемиот;Шемиот В.П.;Элегия;Скажи, зачем меня ласкает;1827;Я;Я4;Я4неурег;Из Парни;Северные цветы на 1827 год;СПб;1827;NA;NA;290-291;alm;NA;Я;4;неурег;nc;core
448;1...8...;[1…8…];Одиночество;Я часто на горе, дубами осененной;1827;Я;Я6;Я6жмжм;Из Ламартина;Северные цветы на 1827 год;СПб;1827;NA;NA;318-320;alm;NA;Я;6;жмжм;nc;core
449;К. Батюшков;Батюшков К.Н.;Элегия;Есть наслаждение и в дикости лесов;1827;Я;Я64;Я64мжмж;NA;Северные цветы на 1828 год;СПб;1827;NA;NA;23;alm;NA;Я;64;мжмж;nc;core
450;А. Пушкин;Пушкин А.С.;Элегия;Под небом голубым страны своей родной;1827;Я;Я64;Я64мжмж;NA;Северные цветы на 1828 год;СПб;1827;NA;NA;51;alm;NA;Я;64;мжмж;canon;core
451;Катенин;Катенин П.А.;Элегия;Фив и музы! нет вам жестокостью равных;1829;Гк;Гк;Гк;NA;Северные цветы на 1830 год;СПб;1829;NA;NA;11-20;alm;NA;Гк;NA;NA;nc;core
452;NA;Ободовский П.Г.;Эрминия;Я счастье знал, тебя, Эрминия, не зная;1829;Я;ЯВ;ЯВнеурег;Сельская элегия;Северные цветы на 1830 год;СПб;1829;NA;NA;21-22;alm;NA;Я;В;неурег;nc;core
453;NA;[Без подписи];Элегия;Довольно! вижу: от меня;1829;Я;Я4;Я4неурег;NA;Северные цветы на 1830 год;СПб;1829;NA;NA;77;alm;NA;Я;4;неурег;nc;core
454;Н. Языков;Языков Н.М.;Элегия;Я отыщу тот крест смиренный;1830;Я;Я4;Я4неурег;NA;Северные цветы на 1831 год;СПб;1830;NA;NA;53-56;alm;NA;Я;4;неурег;nc;core
455;Ш-б-в;[Ш-б-в];Элегия;Недолго теплый ветер лета;1830;Я;Я4;Я4неурег;NA;Северные цветы на 1831 год;СПб;1830;NA;NA;97-99;alm;NA;Я;4;неурег;nc;core
456;NA;Деларю М. ;Элегия;Недолго, с тишиной сердечной;1831;Я;Я4;Я4неурег;NA;Северные цветы на 1832 год;СПб;1831;NA;NA;155-157;alm;NA;Я;4;неурег;nc;core
457;В. Тепляков;Тепляков В. Г.;Первая фракийская элегия. Отплытие;"Визжит канат; из бездн зыбучих";1830;Я;Полиметр;Я4неурег + ЯВ;NA;Северные цветы на 1831 год;СПб;1830;NA;NA;7-11;alm;NA;Я;4;неурег;canon;core
458;Плетнев;Плетнев П.А.;Элегия;Богиня, льющая из урны;1822;Я;Я4;Я4неурег;NA;Полярная звезда на 1823 год;М. - Л;1960 (Литературные памятники);NA;NA;57-58;alm;NA;Я;4;неурег;nc;core
459;Давыдов;Давыдов Д.В.;Элегия;О милый друг! оставь угадывать других;1822;Я;Я3;Я3неурег;NA;Полярная звезда на 1823 год;М. - Л;1960 (Литературные памятники);NA;NA;71-72;alm;Повторно опубликовано: Стихотворения Дениса Давыдова. М., 1832. С. 5-6;Я;3;неурег;nc;core
460;Гнедич;Гнедич Н.И.;Тарентинская дева;Стенайте, алкионы!;1822;Я;ЯВ;ЯВнеурег;Элегия;Полярная звезда на 1823 год;М. - Л;1960 (Литературные памятники);NA;NA;110-111;alm;NA;Я;В;неурег;nc;core
461;Барон Дельвиг;Дельвиг А.А.;На смерть ***;Я знал ее: она была душою;1822;Я;ЯВ;ЯВнеурег;Сельская элегия;Полярная звезда на 1823 год;М. - Л;1960 (Литературные памятники);NA;NA;153;alm;NA;Я;В;неурег;nc;core
462;Давыдов;Давыдов Д.В.;Элегия;Нет! полно пробегать с улыбкою любви;1822;Я;ЯВ;ЯВнеурег;NA;Полярная звезда на 1823 год;М. - Л;1960 (Литературные памятники);NA;NA;228-229;alm;Повторно опубликовано: Стихотворения Дениса Давыдова. М., 1832. С. 9-11;Я;В;неурег;canon;core
463;Загорский;Загорский М.П.;Элегия;О, дни любви и сладких обольщений!;1823;Я;Я5;Я5жммж;NA;Полярная звезда на 1824 год;М. - Л;1960 (Литературные памятники);NA;NA;304-305;alm;NA;Я;5;жммж;nc;core
464;Норов;Норов А.С.;Прощание Нееры;О нимфы резвые ручьев лесистой Оссы;1823;Я;Я6;Я6жжмм;Элегия в древнем вкусе;Полярная звезда на 1824 год;М. - Л;1960 (Литературные памятники);NA;NA;328-329;alm;NA;Я;6;жжмм;nc;core
465;А. Пушкин;Пушкин А.С.;Элегия;Редеет облаков летучая гряда;1823;Я;Я6;Я6ммжж;NA;Полярная звезда на 1824 год;М. - Л;1960 (Литературные памятники);NA;NA;393;alm;NA;Я;6;ммжж;canon;core
466;*;Пушкин А.С.;Элегия;Простишь ли мне ревнивые мечты;1823;Я;Я5;Я5неурег;NA;Полярная звезда на 1824 год;М. - Л;1960 (Литературные памятники);NA;NA;469-470;alm;NA;Я;5;неурег;canon;core
467;Т-ий;Туманский В.И.;Элегия;Не озабочен жизнью я;1825;Я;Я4;Я4мжжм;NA;Полярная звезда на 1825 год;М. - Л;1960 (Литературные памятники);NA;NA;579;alm;Перепечатано: ЛПРИ. 1833. Ч. 9. № 10. С. 79;Я;4;мжжм;canon;core
468;NA;Батюшков К.Н.;Надежда;Мой дух! доверенность к творцу!;1817;Я;Я4;Я4мжмж;NA;Батюшков К.Н. Опыты в стихах и прозе. Ч. 2.;СПб;1817;NA;NA;9-10;col;NA;Я;4;мжмж;nc;core
469;NA;Батюшков К.Н.;На развалинах замка в Швеции;Уже светило дня на западе горит;1817;Я;Я64646663;Я64646663мжмжмжжм;NA;Батюшков К.Н. Опыты в стихах и прозе. Ч. 2.;СПб;1817;NA;NA;11-18;col;NA;Я;64646663;мжмжмжжм;canon;core
471;NA;Батюшков К.Н.;Воспоминание;Мечты! повсюду вы меня сопровождали;1817;Я;ЯВ;ЯВнеурег;NA;Батюшков К.Н. Опыты в стихах и прозе. Ч. 2.;СПб;1817;NA;NA;27-29;col;NA;Я;В;неурег;canon;core
472;NA;Батюшков К.Н.;Воспоминания;Я чувствую, мой дар в поэзии погас;1817;Я;ЯВ;ЯВнеурег;Отрывок;Батюшков К.Н. Опыты в стихах и прозе. Ч. 2.;СПб;1817;NA;NA;30-32;col;NA;Я;В;неурег;nc;core
473;NA;Батюшков К.Н.;Выздоровление;Как ландыш под серпом убийственным жнеца;1817;Я;Я64;Я64мжмж;NA;Батюшков К.Н. Опыты в стихах и прозе. Ч. 2.;СПб;1817;NA;NA;33-34;col;NA;Я;64;мжмж;canon;core
475;NA;Батюшков К.Н.;Привидение;Посмотрите! в двадцать лет;1817;Х;Х4;Х4неурег;Из Парни;Батюшков К.Н. Опыты в стихах и прозе. Ч. 2.;СПб;1817;NA;NA;39-42;col;NA;Х;4;неурег;nc;core
476;NA;Батюшков К.Н.;Тибуллова элегия III;Напрасно осыпал я жертвенник цветами;1817;Я;Я6;Я6жжмм;Из III книги;Батюшков К.Н. Опыты в стихах и прозе. Ч. 2.;СПб;1817;NA;NA;43-45;col;NA;Я;6;жжмм;nc;core
477;NA;Батюшков К.Н.;Мой гений;О память сердца! ты сильней;1817;Я;Я4;Я4неурег;NA;Батюшков К.Н. Опыты в стихах и прозе. Ч. 2.;СПб;1817;NA;NA;46;col;NA;Я;4;неурег;canon;core
478;NA;Батюшков К.Н.;Дружество;Блажен, кто друга здесь по сердцу обретает;1817;Я;Я6;Я6неурег;NA;Батюшков К.Н. Опыты в стихах и прозе. Ч. 2.;СПб;1817;NA;NA;47;col;NA;Я;6;неурег;nc;core
479;NA;Батюшков К.Н.;Тень друга;Я берег покидал туманный Альбиона;1817;Я;Я6;Я6неурег;NA;Батюшков К.Н. Опыты в стихах и прозе. Ч. 2.;СПб;1817;NA;NA;48-51;col;NA;Я;6;неурег;canon;core
480;NA;Батюшков К.Н.;Тибуллова элегия IX из I книги;Кто первый изострил железный меч и стрелы?;1817;Я;Я6;Я6жжмм;NA;Батюшков К.Н. Опыты в стихах и прозе. Ч. 2.;СПб;1817;NA;NA;52-58;col;NA;Я;6;жжмм;nc;core
481;NA;Батюшков К.Н.;Веселый час ;Вы, други, вы опять со мною;1817;Полиметр;Полиметр;Я4неурег + Х4неурег;NA;Батюшков К.Н. Опыты в стихах и прозе. Ч. 2.;СПб;1817;NA;NA;59-63;col;NA;Полиметр;NA;NA;nc;core
482;NA;Батюшков К.Н.;В день рождения N.;О ты, которая была;1817;Я;ЯВ;ЯВнеурег;NA;Батюшков К.Н. Опыты в стихах и прозе. Ч. 2.;СПб;1817;NA;NA;64;col;NA;Я;В;неурег;nc;core
483;NA;Батюшков К.Н.;Пробуждение;Зефир последний свеял сон;1817;Я;Я4;Я4неурег;NA;Батюшков К.Н. Опыты в стихах и прозе. Ч. 2.;СПб;1817;NA;NA;65;col;NA;Я;4;неурег;nc;core
484;NA;Батюшков К.Н.;Разлука;Напрасно покидал страну моих отцов;1817;Я;ЯВ;ЯВнеурег;NA;Батюшков К.Н. Опыты в стихах и прозе. Ч. 2.;СПб;1817;NA;NA;66-67;col;NA;Я;В;неурег;canon;core
485;NA;Батюшков К.Н.;Таврида;Друг милый, ангел мой! сокроемся туда;1817;Я;ЯВ;ЯВнеурег;NA;Батюшков К.Н. Опыты в стихах и прозе. Ч. 2.;СПб;1817;NA;NA;68-70;col;NA;Я;В;неурег;canon;core
486;NA;Батюшков К.Н.;Судьба Одиссея;Средь ужасов земли и ужасов морей;1817;Я;ЯВ;ЯВнеурег;NA;Батюшков К.Н. Опыты в стихах и прозе. Ч. 2.;СПб;1817;NA;NA;71;col;NA;Я;В;неурег;nc;core
487;NA;Батюшков К.Н.;Последняя весна;В полях блистает май веселый;1817;Я;Я4;Я4жмжм;NA;Батюшков К.Н. Опыты в стихах и прозе. Ч. 2.;СПб;1817;NA;NA;72-74;col;NA;Я;4;жмжм;canon;core
488;NA;Батюшков К.Н.;К Г***чу;Только дружба обещает;1817;Х;Х4;Х4неурег;NA;Батюшков К.Н. Опыты в стихах и прозе. Ч. 2.;СПб;1817;NA;NA;75-76;col;NA;Х;4;неурег;nc;core
489;NA;Батюшков К.Н.;К Д***ву;Мой друг! я видел море зла;1817;Я;Я4;Я4неурег;NA;Батюшков К.Н. Опыты в стихах и прозе. Ч. 2.;СПб;1817;NA;NA;77-80;col;NA;Я;4;неурег;canon;core
490;NA;Батюшков К.Н.;Источник;Буря умолкла, и в ясной лазури;1817;Д;Д4;Д4жмжм;NA;Батюшков К.Н. Опыты в стихах и прозе. Ч. 2.;СПб;1817;NA;NA;81-83;col;NA;Д;4;жмжм;canon;core
491;NA;Батюшков К.Н.;На смерть супруги Ф.Ф. К-на;Нет подруги нежной, нет прелестной Лилы!;1817;Х;Х63;Х63жмжм;NA;Батюшков К.Н. Опыты в стихах и прозе. Ч. 2.;СПб;1817;NA;NA;84-85;col;NA;Х;63;жмжм;nc;core
492;NA;Батюшков К.Н.;Пленный;В местах, где Рона протекает;1817;Я;Я43;Я43жмжм;NA;Батюшков К.Н. Опыты в стихах и прозе. Ч. 2.;СПб;1817;NA;NA;86-90;col;NA;Я;43;жмжм;nc;core
493;NA;Батюшков К.Н.;Гесиод и Омир, соперники;Народы, как волны, в Халкиду текли;1817;Полиметр;Полиметр;Амф43мж + Я6 (?);Посвящено А.Н.О. любителю древности;Батюшков К.Н. Опыты в стихах и прозе. Ч. 2.;СПб;1817;NA;NA;93-100;col;NA;Полиметр;NA;NA;nc;core
494;NA;Батюшков К.Н.;К другу;Скажи, мудрец младой, что прочно на земле;1817;Я;Я64;Я64мжмж;NA;Батюшков К.Н. Опыты в стихах и прозе. Ч. 2.;СПб;1817;NA;NA;101-105;col;NA;Я;64;мжмж;canon;core
495;NA;Батюшков К.Н.;Мечта;Подруга нежных Муз, посланница небес;1817;Я;ЯВ;ЯВнеурег;NA;Батюшков К.Н. Опыты в стихах и прозе. Ч. 2.;СПб;1817;NA;NA;106-118;col;NA;Я;В;неурег;canon;core
496;NA;Батюшков К.Н.;Умирающий Тасс;Какое торжество готовит древний Рим?;1817;Я;Я65;Я65мжмж;NA;Батюшков К.Н. Опыты в стихах и прозе. Ч. 2.;СПб;1817;NA;NA;245-253;col;NA;Я;65;мжмж;canon;core
497;Д. Веневитинов;Веневитинов Д. В.;Поэт и друг;Ты в жизни только расцветаешь;1827;Я;Я4;Я4неурег;Элегия;МВ;NA;1827;Ч. 2;№ 7;217-220;per;NA;Я;4;неурег;canon;core
498;NA;Пушкин А.С.;Пробуждение;Мечты, мечты;1816;Я;Я2;Я2неурег;NA;Пушкин А.С. Стихотворения;СПб;1826;NA;NA;3-4;col;Перепечатано: Венера, или собрание стихотворений разных авторов. М. 1831. С. 145-146;Я;2;неурег;canon;core
499;NA;Пушкин А.С.;Мечтателю;Ты в страсти горестной находишь наслажденье;1818;Я;ЯВ;ЯВнеурег;NA;Пушкин А.С. Стихотворения;СПб;1826;NA;NA;5-6;col;NA;Я;В;неурег;canon;core
501;NA;Пушкин А.С.;NA;Мой друг, забыты мной следы;1821;Я;Я6;Я6неурег;NA;Пушкин А.С. Стихотворения;СПб;1826;NA;NA;8;col;NA;Я;6;неурег;canon;core
502;NA;Пушкин А.С.;Друзьям;Богами вам еще даны;1816;Я;Я4;Я4неурег;NA;Пушкин А.С. Стихотворения;СПб;1826;NA;NA;9;col;NA;Я;4;неурег;canon;core
503;NA;Пушкин А.С.;Выздоровление;Тебя ль я видел, милый друг;1818;Я;ЯВ;ЯВнеурег;NA;Пушкин А.С. Стихотворения;СПб;1826;NA;NA;10-11;col;NA;Я;В;неурег;canon;core
504;NA;Пушкин А.С.;Война;Война!.. подъяты наконец;1821;Я;ЯВ;ЯВнеурег;NA;Пушкин А.С. Стихотворения;СПб;1826;NA;NA;12-13;col;NA;Я;В;неурег;canon;core
506;NA;Пушкин А.С.;NA;Умолкну скоро я;1821;Я;Я6;Я6неурег;NA;Пушкин А.С. Стихотворения;СПб;1826;NA;NA;15;col;NA;Я;6;неурег;canon;core
507;NA;Пушкин А.С.;Гроб юноши;...Сокрылся он;1821;Я;Я4;Я4неурег;NA;Пушкин А.С. Стихотворения;СПб;1826;NA;NA;16-18;col;NA;Я;4;неурег;canon;core
509;NA;Пушкин А.С.;NA;Ты вянешь и молчишь;1824;Я;Я6;Я6жжмм;Подражание Ан. Шенье;Пушкин А.С. Стихотворения;СПб;1826;NA;NA;21;col;NA;Я;6;жжмм;canon;core
511;NA;Пушкин А.С.;Сожженное письмо;Прощай, письмо любви, прощай! она велела;1825;Я;Я6;Я6жжмм;NA;Пушкин А.С. Стихотворения;СПб;1826;NA;NA;24;col;NA;Я;6;жжмм;nc;core
512;NA;Пушкин А.С.;NA;Ненастный день потух;1824;Я;ЯВ;ЯВнеурег;Отрывок;Пушкин А.С. Стихотворения;СПб;1826;NA;NA;25-26;col;NA;Я;В;неурег;canon;core
514;NA;Пушкин А.С.;Андрей Шенье;Меж тем, как изумленный мир;1825;Я;ЯВ;ЯВнеурег;Посвящено Н.Н. Раевскому;Пушкин А.С. Стихотворения;СПб;1826;NA;NA;29-35;col;NA;Я;В;неурег;canon;core
515;NA;Пушкин А.С.;Элегия;Безумных лет угасшее веселье;1830;Я;Я5;Я5жжмм;NA;Пушкин А.С. Стихотворения;СПб;1835;Ч. 4;NA;104;col;NA;Я;5;жжмм;canon;core
516;Е. Баратынский;Баратынский Е.А.;Элегия;В дни безграничных увлечений;1832;Я;Я4;Я4жмжм;NA;Европеец;NA;1832;NA;№ 1;52;per;NA;Я;4;жмжм;nc;core
517;Е. Баратынский;Баратынский Е.А.;Запустение. Элегия;Я посетил тебя, пленительная сень;1833;Я;ЯВ;ЯВнеурег;NA;БдЧ;NA;1835;NA;Т. VIII;19;per;NA;Я;В;неурег;nc;core
518;NA;Баратынский Е.А;Финляндия;Громады вечных скал, гранитные пустыни;1827;Я;ЯВ;ЯВнеурег;NA;Баратынский Е. Стихотворения;М;1827;NA;NA;9-12;col;NA;Я;В;неурег;nc;core
519;NA;Баратынский Е.А;Водопад;Шуми, шуми с крутой вершины;1827;Я;Я4;Я4жммж;NA;Баратынский Е. Стихотворения;М;1827;NA;NA;13-14;col;NA;Я;4;жммж;nc;core
520;NA;Баратынский Е.А;Истина;О счастии с младенчества тоскуя;1823;Я;Я53;Я53жмжм;NA;Баратынский Е. Стихотворения;М;1827;NA;NA;15-17;col;NA;Я;53;жмжм;canon;core
521;NA;Баратынский Е.А;Череп;Усопший брат, кто сон твой возмутил;1827;Я;Я5;Я5мжмж;NA;Баратынский Е. Стихотворения;М;1827;NA;NA;18-19;col;NA;Я;5;мжмж;canon;core
522;NA;Баратынский Е.А;Рим;Ты был ли, гордый Рим, земли самовластитель;1823;Я;ЯВ;ЯВнеурег;NA;Баратынский Е. Стихотворения;М;1827;NA;NA;20;col;NA;Я;В;неурег;canon;core
524;NA;Баратынский Е.А;Две доли;Дало две доли провиденье;1823;Я;Я4;Я4дмдм;NA;Баратынский Е. Стихотворения;М;1827;NA;NA;24-25;col;NA;Я;4;дмдм;canon;core
525;NA;Баратынский Е.А;Буря;Завыла буря, хлябь морская;1824;Я;ЯВ;ЯВнеурег;NA;Баратынский Е. Стихотворения;М;1827;NA;NA;26-28;col;NA;Я;В;неурег;canon;core
526;NA;Баратынский Е.А;Разлука;"Расстались мы; на миг очарованьем";1827;Я;Я5;Я5неурег;NA;Баратынский Е. Стихотворения;М;1827;NA;NA;31;col;NA;Я;5;неурег;canon;core
527;NA;Баратынский Е.А;В альбом;Тебе на память в книге сей;1827;Я;Я4;Я4неурег;NA;Баратынский Е. Стихотворения;М;1827;NA;NA;32-33;col;NA;Я;4;неурег;canon;core
528;NA;Баратынский Е.А;Лета;Душ холодных упованье;1823;Х;Х4;Х4жмжм;NA;Баратынский Е. Стихотворения;М;1827;NA;NA;34;col;NA;Х;4;жмжм;nc;core
529;NA;Баратынский Е.А;Ропот;Он близок, близок день свиданья;1827;Я;Я4;Я4неурег;NA;Баратынский Е. Стихотворения;М;1827;NA;NA;35;col;NA;Я;4;неурег;canon;core
530;NA;Баратынский Е.А;Уныние;Рассеивает грусть веселый шум пиров;1827;Я;Я64;Я64мжмж;NA;Баратынский Е. Стихотворения;М;1827;NA;NA;36;col;NA;Я;64;мжмж;nc;core
531;NA;Баратынский Е.А;Размолвка;Мне о любви твердила ты шутя;1827;Я;Я5;Я5мжмж;NA;Баратынский Е. Стихотворения;М;1827;NA;NA;37;col;NA;Я;5;мжмж;nc;core
532;NA;Баратынский Е.А;Бдение;Один, и пасмурный душою;1827;Я;Я43;Я43жм;NA;Баратынский Е. Стихотворения;М;1827;NA;NA;38-39;col;NA;Я;43;жм;nc;core
534;NA;Баратынский Е.А;Падение листьев;Желтел печально злак полей;1827;Я;Я4;Я4неурег;NA;Баратынский Е. Стихотворения;М;1827;NA;NA;41-43;col;NA;Я;4;неурег;canon;core
535;NA;Баратынский Е.А;Отъезд;Прощай, отчизна непогоды;1827;Я;Я43;Я43жмжм;NA;Баратынский Е. Стихотворения;М;1827;NA;NA;44-45;col;NA;Я;43;жмжм;canon;core
536;NA;Баратынский Е.А;Утешение;Свободу дав тоске моей;1827;Я;Я4;Я4неурег;Подражание Лафару;Баратынский Е. Стихотворения;М;1827;NA;NA;49-50;col;NA;Я;4;неурег;nc;core
537;NA;Баратынский Е.А;Поцелуй;Сей поцелуй, дарованный тобой;1827;Я;Я5;Я5мжмж;NA;Баратынский Е. Стихотворения;М;1827;NA;NA;51;col;NA;Я;5;мжмж;nc;core
538;NA;Баратынский Е.А;Элизийские поля;Бежит неверное здоровье;1827;Я;Я4;Я4неурег;NA;Баратынский Е. Стихотворения;М;1827;NA;NA;52-54;col;NA;Я;4;неурег;canon;core
539;NA;Баратынский Е.А;Делии;Зачем, о Делия! сердца младые ты;1827;Я;Я64;Я64жмжм;NA;Баратынский Е. Стихотворения;М;1827;NA;NA;55-56;col;NA;Я;64;жмжм;canon;core
540;NA;Баратынский Е.А;Оправдание;Решительно, печальных строк моих;1827;Я;Я5;Я5неурег;NA;Баратынский Е. Стихотворения;М;1827;NA;NA;57-58;col;NA;Я;5;неурег;canon;core
541;NA;Баратынский Е.А;Догадка;Любви приметы;1827;Я;Я2;Я2неурег;NA;Баратынский Е. Стихотворения;М;1827;NA;NA;59;col;NA;Я;2;неурег;nc;core
542;NA;Баратынский Е.А;Ожидание;Она придет! к ее устам;1826;Я;Я4;Я4неурег;NA;Баратынский Е. Стихотворения;М;1827;NA;NA;60;col;NA;Я;4;неурег;nc;core
543;NA;Баратынский Е.А;Возвращение;На кровы ближнего селенья;1822;Я;Я4;Я4неурег;NA;Баратынский Е. Стихотворения;М;1827;NA;NA;61;col;NA;Я;4;неурег;nc;core
545;NA;Баратынский Е.А;Л. П-ну;Поверь, мой милый! твой Поэт;1825;Я;ЯВ;ЯВнеурег;NA;Баратынский Е. Стихотворения;М;1827;NA;NA;64-65;col;NA;Я;В;неурег;canon;core
546;NA;Баратынский Е.А;Эпилог;Чувствительны мне дружеские пени;1827;Я;Я5;Я5неурег;NA;Баратынский Е. Стихотворения;М;1827;NA;NA;66;col;NA;Я;5;неурег;nc;core
549;NA;Языков Н.М.;Элегия;Зачем божественной хариты;1824;Я;Я4;Я4неурег;NA;Языков Н. Стихотворения;СПб;1833;NA;NA;35-36;col;NA;Я;4;неурег;canon;core
550;NA;Языков Н.М.;Элегия;Вы не сбылись, надежды милой;1827;Я;Я4;Я4жмжм;NA;Языков Н. Стихотворения;СПб;1833;NA;NA;49-50;col;NA;Я;4;жмжм;canon;core
551;NA;Языков Н.М.;Элегия;Она меня очаровала;1825;Я;Я4;Я4жмжм;NA;Языков Н. Стихотворения;СПб;1833;NA;NA;57-58;col;NA;Я;4;жмжм;nc;core
553;NA;Языков Н.М.;Элегия;Ты восхитительна! ты пышно расцветаешь;1828;Я;Я6;Я6жжмм;NA;Языков Н. Стихотворения;СПб;1833;NA;NA;103-104;col;NA;Я;6;жжмм;nc;core
555;NA;Языков Н.М.;Прощание с элегиями;Прощайте, миленькие бредни;1824;Я;Я4;Я4неурег;NA;Языков Н. Стихотворения;СПб;1833;NA;NA;114;col;NA;Я;4;неурег;canon;core
556;NA;Языков Н.М.;Элегия;Прощай, красавица моя;1824;Я;Я4;Я4неурег;NA;Языков Н. Стихотворения;СПб;1833;NA;NA;139-140;col;NA;Я;4;неурег;nc;core
558;NA;Языков Н.М.;Элегия;Ночь безлунная, звездами;1831;Х;Х4;Х4неурег;NA;Языков Н. Стихотворения;СПб;1833;NA;NA;195-196;col;NA;Х;4;неурег;nc;core
560;NA;Языков Н.М.;Элегия;Поэту радости и хмеля;1825;Я;Я4;Я4жмжм;NA;Языков Н. Стихотворения;СПб;1833;NA;NA;234-235;col;NA;Я;4;жмжм;canon;core
561;NA;Языков Н.М.;Элегия Т.Д.;Блажен, кто мог на ложе ночи;1833;Я;Я4;Я4жмжм;NA;Языков Н. Стихотворения;СПб;1833;NA;NA;242-243;col;NA;Я;4;жмжм;canon;core
564;Баратынский;Баратынский Е.А.;Признание;Притворной нежности не требуй от меня;1823;Я;ЯВ;ЯВнеурег;NA;Полярная звезда на 1824 год;СПб;1823;NA;NA;312-313;per;NA;Я;В;неурег;nc;core
565;NA;Глебов Д.П.;Память любви;В час сумрака, в сей час священный;1827;Я;Я4;Я4жмжм;NA;Глебов Д.П. Элегии и другие стихотворения;М;1827;NA;NA;68;col;NA;Я;4;жмжм;canon;core
566;NA;Глебов Д.П.;Ночное размышление;Свершив свой славный путь, усталый царь денницы;1827;Я;Я666663;Я666663жжмжжм;NA;Глебов Д.П. Элегии и другие стихотворения;М;1827;NA;NA;7-11;col;NA;Я;666663;жжмжжм;nc;core
567;Иван Козлов;Козлов И.И.;Невеста;О, что сбылось с тобой, невеста молодая?;1835;Я;Я6;Я6жжмм;Вольное подражание Андрею Шенье;БдЧ;NA;1835;Т. 9;NA;126;per;NA;Я;6;жжмм;canon;core
568;И. Козлов;Козлов И.И.;Элегия;О ты, звезда любви, еще на небесах;1835;Я;Я6;Я6ммжж;Из А. Шенье;БдЧ;NA;1835;Т. 12;NA;129;per;NA;Я;6;ммжж;canon;core
569;А. Хомяков;Хомяков А.С.;Элегия;Когда вечерняя спускается роса;1835;Я;Я6;Я6мжмж;NA;МН;NA;1835;Ч. 1;Кн. 1;53-54;per;NA;Я;6;мжмж;canon;core
570;NA;Тепляков В. Г.;Одиночество;В лесу осенний ветр и стонет, и дрожит;1833;Я;Я6;Я6мжмж;NA;Комета Белы;СПб;1833;NA;NA;246;alm;NA;Я;6;мжмж;canon;core
571;NA;Давыдов Д.В.;Элегия V;О, пощади! Зачем волшебство ласк и слов;1832;Я;ЯВ;ЯВмжмж;NA;Стихотворения Дениса Давыдова;М;1832;NA;NA;12;col;NA;Я;В;мжмж;nc;core
