id;Signature;Author;Title;First line;Year;Meter;Razmer;Razmer_wclaus;Genre subtitle;Source_name;Place;Year;Volume;Number;Page;Type;Перепечатки;Meter;Стоп;Клаузула;canon_ou_non;corpus
87;П. М-ъ;Межаков П.А.;Пустыня;Нередко вечером, при солнечном закате;1824;Я;Я6;Я6жмжм;Элегия (в огл.);Благонамеренный;NA;1824;Ч. 26;№ 8;117-119;per;NA;Я;6;жмжм;nc;core
88;**;[**];Элегия;Уже последний луч вечернего светила;1824;Я;Я65;Я65жмжм;На смерть Я. В. С…го;Благонамеренный;NA;1824;Ч. 26;№ 11;325-327;per;NA;Я;65;жмжм;nc;core
89;Бестужев-Рюмин;Бестужев-Рюмин М.А.;Безнадежность;Не пробуждай во мне мечтаний;1824;Я;Я4;Я4жмжм;Элегия;Благонамеренный;NA;1824;Ч. 28;№ 21-22;250;per;Повторно опубликовано: Сириус. СПб. 1826. С.74-75.;Я;4;жмжм;nc;core
90;Степан Степанов;[Степан Степанов];Падение листьев;Осенний ветр с густых ветвей;1825;Я;Я4;Я4неурег;NA;Благонамеренный;NA;1825;Ч. 30;№ 21;258-260;per;NA;Я;4;неурег;nc;core
91;А. А-въ;[А. А-въ];Элегия;Я помню первые лобзанья;1825;Я;Я4;Я4неурег;NA;Благонамеренный;NA;1825;Ч. 31;№ 31-32;170-171;per;NA;Я;4;неурег;nc;core
92;Э.;[Э.];Одиночество;Тускнеет неба свод и мрачный вид природы;1826;Я;Я6;Я6неурег;Элегия;Благонамеренный;NA;1826;Ч. 32 (33);№ 2;83-85;per;NA;Я;6;неурег;nc;core
93;Н. Языков;Языков Н.М.;Элегия;Любовь любовь веселым днем;1826;Я;Я4;Я4неурег;NA;Бланогамеренный;NA;1826;Ч. 33 (34);№ 9;168-169;per;Перепечатано: Славянин.1827. Ч. 3. №30. С. 146.;Я;4;неурег;canon;core
94;П. Клейменов;[П. Клейменов];Элегия;Как милая дева как ангел небесный;1826;Амф;Амф4;Амф4жмжм;NA;Благонамеренный;NA;1826;Ч. 33 (34);№ 11;315;per;NA;Амф;4;жмжм;nc;core
95;Н. Бушмакин;Бушманкин Н.;Сын над гробом отца;Прости, бесценный прах, чувствительность мою;1826;Я;Я6;Я6мжмж;Элегия;Благонамеренный;NA;1826;Ч. 33 (34);№ 12;363-365;per;NA;Я;6;мжмж;nc;core
96;Н. Б. ;Бушманкин Н.;Пловец;Напрасно ищет взор родимых берегов;1826;Я;Я6;Я6мжмж;Элегия;Благонамеренный;NA;1826;Ч. 33 (34);№ 12;365-366;per;NA;Я;6;мжмж;nc;core
97;Мих. Дмитриев;Дмитриев М.А.;Спокойствие;Вы любите покой, о дщери Мнемозины;1824;Я;ЯВ;ЯВнеурег;Элегия;Соревнователь;NA;1824;Ч. 25;Кн. 3;260-261;per;Повторно опубликовано: Стихотворения Михаила Дмитриева. М., 1830. С. 36-38.;Я;В;неурег;nc;core
98;Мих. Дмитриев;Дмитриев М.А.;Монастырь;Обитель древняя забывших суету;1824;Я;Я65;Я65мжмж;Элегия;Соревнователь;NA;1824;Ч. 25;Кн. 3;262-264;per;NA;Я;65;мжмж;nc;core
99;Туманский;Туманский В.И.;Элегия;На грозном океане света;1824;Я;ЯВ;ЯВнеурег;NA;Соревнователь;NA;1824;Ч. 28;Кн. 2;217-219;per;NA;Я;В;неурег;nc;core
100;Александр Пушкин;Пушкин А.С.;Желание славы;Когда любовию и негой упоенный;1825;Я;Я6;Я6жжмм;Элегия;Соревнователь;NA;1825;Ч. 30;№ 6;299-300;per;NA;Я;6;жжмм;canon;core
101;* *;Языков Н.М.;Элегия I;Счастлив кто с юношеских дней;1825;Я;Я4;Я4неурег;NA;Соревнователь;NA;1825;Ч. 31;№ 7;98;per;Перепечатано: НЛ. 1825. Кн. 14. № 10. С. 75.;Я;4;неурег;canon;core
102;* *;Языков Н.М.;Элегия II ;Свободен я уже не трачу;1825;Я;Я4;Я4неурег;NA;Соревнователь;NA;1825;Ч. 31;№ 7;99;per;Перепечатано: НЛ. 1826. Кн. 16. № 2. С. 94;Я;4;неурег;nc;core
103;* *;Языков Н.М.;Элегия III;Я знал живое заблужденье;1825;Я;Я4;Я4неурег;NA;Соревнователь;NA;1825;Ч. 31;№ 7;99;per;Перепечатано: НЛ. 1826. Кн. 16. № 3. С. 150.;Я;4;неурег;nc;core
104;* *;Языков Н.М.;Элегия IV;Моя камена ей певала;1825;Я;Я4;Я4жмжм;NA;Соревнователь;NA;1825;Ч. 31;№ 7;99-100;per;Перепечатано: НЛ. 1826. Кн. 16. № 2. С. 93;Я;4;жмжм;nc;core
105;*;[*];Элегия;Время быстро пролетает;1826;Х;Х4;Х4ж;NA;Сириус;СПб;1826;NA;NA;128-130;alm;NA;Х;4;ж;nc;core
112;Н. Языков;Языков Н.М.;Элегия;Скажи, воротишься ли ты;1824;Я;Я4;Я4неурег;NA;НЛ;NA;1824;Кн. 7;№ 3;46-47;per;NA;Я;4;неурег;canon;core
113;Н. Языков;Языков Н.М.;Элегия;Не улетай, не улетай;1824;Я;Я4;Я4мжмж;NA;НЛ;NA;1824;Кн. 8;№ 13;16;per;NA;Я;4;мжмж;nc;core
114;Г.;[Г.];Жертва любви;Протяжный колокола звон;1824;Я;Я4;Я4неурег;Элегия;НЛ;NA;1824;Кн. 8;№ 14;29-32;per;NA;Я;4;неурег;nc;core
115;Карниолин-Пинский;Карниолин-Пинский М.М.;К спокойствию;Обитель тихая отшельников смиренных;1824;Я;Я6664;Я6664жмжм;Элегия;НЛ;NA;1824;Кн. 8;№ 23;173-175;per;NA;Я;6664;жмжм;nc;core
116;Кобозев;Кобозев М.;Прошедший вечер;Весна протекших дней куда сокрылась ты;1824;Я;Я6;Я6ммжж;Элегия;ДЖ;NA;1824;Ч. 7;№ 14;56-59;per;NA;Я;6;ммжж;nc;core
117;И. Великопольский;Великопольский И.Е.;Нереида;О музы оставьте шумящие воды Пермесса;1827;Амф;Амф5;Амф5ж;Элегия;Календарь муз на 1827 год;Спб;1827;NA;NA;74-78;alm;NA;Амф;5;ж;nc;core
119;Н. Языков;Языков Н.М.;Элегия;Меня любовь преобразила;1826;Я;Я4;Я4неурег;NA;Календарь муз на 1826 год;Спб;1826;NA;NA;124-125;alm;NA;Я;4;неурег;canon;core
